,coordenada_x,coordenada_y,Zona
309,5437292.830587274,6351972.064042486,7
310,5437292.830587274,6351972.064042486,7
311,5437292.830587274,6351972.064042486,7
312,5437292.830587274,6351972.064042486,7
313,5437279.500000001,6353154.702499961,7
314,5437279.500000001,6353154.702499961,7
315,5431783.920234252,6359138.315146417,4
316,5434400.7899999535,6360840.310000014,6
320,5440814.321630381,6354846.394385057,1
321,5440814.321630381,6354846.394385057,1
322,5440814.321630381,6354846.394385057,1
323,5440814.321630381,6354846.394385057,1
324,5440814.321630381,6354846.394385057,1
325,5440814.321630381,6354846.394385057,1
326,5440622.86098604,6354518.701334737,1
327,5440622.86098604,6354518.701334737,1
330,5439880.76,6350228.69,3
331,5439880.76,6350228.69,3
332,5435667.196843523,6348964.722668804,8
333,5435667.196843523,6348964.722668804,8
334,5439241.450814331,6354243.079282892,1
335,5439241.450814331,6354243.079282892,1
336,5439241.450814331,6354243.079282892,1
337,5439241.450814331,6354243.079282892,1
338,5439241.450814331,6354243.079282892,1
339,5439241.450814331,6354243.079282892,1
340,5439241.450814331,6354243.079282892,1
341,5439241.450814331,6354243.079282892,1
342,5439241.450814331,6354243.079282892,1
343,5439241.450814331,6354243.079282892,1
344,5439241.450814331,6354243.079282892,1
345,5439241.450814331,6354243.079282892,1
346,5439257.230776521,6353821.546206536,1
349,5437566.050000067,6349618.560000014,8
350,5437566.050000067,6349618.560000014,8
351,5433700.812173318,6354984.785556316,0
352,5433700.812173318,6354984.785556316,0
353,5433700.812173318,6354984.785556316,0
354,5433700.812173318,6354984.785556316,0
355,5433700.812173318,6354984.785556316,0
356,5438757.876959402,6356531.222111388,9
357,5438757.876959402,6356531.222111388,9
359,5433667.856867366,6361017.277493131,2
360,5433667.856867366,6361017.277493131,2
363,5435142.08565323,6357927.440956406,6
364,5435142.08565323,6357927.440956406,6
365,5431517.383122508,6357411.926677752,4
366,5433156.935175585,6356692.626607762,4
367,5436182.526078171,6355416.021701129,5
368,5436182.526078171,6355416.021701129,5
369,5436182.526078171,6355416.021701129,5
370,5436182.526078171,6355416.021701129,5
371,5436182.526078171,6355416.021701129,5
372,5436182.526078171,6355416.021701129,5
373,5436182.526078171,6355416.021701129,5
374,5436182.526078171,6355416.021701129,5
375,5436182.526078171,6355416.021701129,5
376,5436182.526078171,6355416.021701129,5
377,5436182.526078171,6355416.021701129,5
378,5436182.526078171,6355416.021701129,5
379,5436182.526078171,6355416.021701129,5
380,5436182.526078171,6355416.021701129,5
381,5436182.526078171,6355416.021701129,5
382,5436182.526078171,6355416.021701129,5
383,5436182.526078171,6355416.021701129,5
384,5436182.526078171,6355416.021701129,5
385,5436182.526078171,6355416.021701129,5
386,5436182.526078171,6355416.021701129,5
387,5436182.526078171,6355416.021701129,5
388,5436182.526078171,6355416.021701129,5
389,5436182.526078171,6355416.021701129,5
390,5436182.526078171,6355416.021701129,5
391,5436182.526078171,6355416.021701129,5
392,5436182.526078171,6355416.021701129,5
393,5436182.526078171,6355416.021701129,5
394,5436182.526078171,6355416.021701129,5
395,5436182.526078171,6355416.021701129,5
396,5436182.526078171,6355416.021701129,5
397,5436182.526078171,6355416.021701129,5
398,5436182.526078171,6355416.021701129,5
399,5436182.526078171,6355416.021701129,5
400,5436182.526078171,6355416.021701129,5
401,5436182.526078171,6355416.021701129,5
402,5436182.526078171,6355416.021701129,5
403,5436182.526078171,6355416.021701129,5
404,5436182.526078171,6355416.021701129,5
405,5436182.526078171,6355416.021701129,5
406,5436182.526078171,6355416.021701129,5
407,5436182.526078171,6355416.021701129,5
408,5436182.526078171,6355416.021701129,5
409,5436182.526078171,6355416.021701129,5
410,5427802.965492193,6359008.681453644,4
413,5434217.086833775,6360511.565224623,6
414,5434217.086833775,6360511.565224623,6
419,5440813.57,6351365.06,3
420,5440813.57,6351365.06,3
421,5440511.750905691,6354062.090060642,1
